,Date,Province,Country,Lat,Long,Confirmed,Dealth,Recovered
103,2020-01-22,N/A,Estonia,58.5953,25.0136,0.0,0.0,0.0
104,2020-01-22,N/A,Eswatini,-26.5225,31.4659,0.0,0.0,0.0
105,2020-01-22,N/A,Ethiopia,9.145,40.4897,0.0,0.0,0.0
106,2020-01-22,N/A,Fiji,-17.7134,178.065,0.0,0.0,0.0
107,2020-01-22,N/A,Finland,61.92411,25.748151,0.0,0.0,0.0
108,2020-01-22,N/A,France,46.2276,2.2137,0.0,0.0,0.0
109,2020-01-22,N/A,Gabon,-0.8037,11.6094,0.0,0.0,0.0
110,2020-01-22,N/A,Gambia,13.4432,-15.3101,0.0,0.0,0.0
111,2020-01-22,N/A,Georgia,42.3154,43.3569,0.0,0.0,0.0
112,2020-01-22,N/A,Germany,51.165690999999995,10.451526,0.0,0.0,0.0
113,2020-01-22,N/A,Ghana,7.9465,-1.0232,0.0,0.0,0.0
114,2020-01-22,N/A,Greece,39.0742,21.8243,0.0,0.0,0.0
115,2020-01-22,N/A,Grenada,12.1165,-61.678999999999995,0.0,0.0,0.0
116,2020-01-22,N/A,Guatemala,15.7835,-90.2308,0.0,0.0,0.0
117,2020-01-22,N/A,Guinea,9.9456,-9.6966,0.0,0.0,0.0
118,2020-01-22,N/A,Guinea-Bissau,11.8037,-15.1804,0.0,0.0,0.0
119,2020-01-22,N/A,Guyana,4.860416000000001,-58.93018000000001,0.0,0.0,0.0
120,2020-01-22,N/A,Haiti,18.9712,-72.2852,0.0,0.0,0.0
121,2020-01-22,N/A,Holy See,41.9029,12.4534,0.0,0.0,0.0
122,2020-01-22,N/A,Honduras,15.2,-86.2419,0.0,0.0,0.0
123,2020-01-22,N/A,Hungary,47.1625,19.5033,0.0,0.0,0.0
124,2020-01-22,N/A,Iceland,64.9631,-19.0208,0.0,0.0,0.0
125,2020-01-22,N/A,India,20.593684,78.96288,0.0,0.0,0.0
126,2020-01-22,N/A,Indonesia,-0.7893,113.9213,0.0,0.0,0.0
127,2020-01-22,N/A,Iran,32.427908,53.68804599999999,0.0,0.0,0.0
128,2020-01-22,N/A,Iraq,33.223191,43.679291,0.0,0.0,0.0
129,2020-01-22,N/A,Ireland,53.1424,-7.6921,0.0,0.0,0.0
130,2020-01-22,N/A,Israel,31.046051000000002,34.851612,0.0,0.0,0.0
131,2020-01-22,N/A,Italy,41.87194,12.56738,0.0,0.0,0.0
132,2020-01-22,N/A,Jamaica,18.1096,-77.2975,0.0,0.0,0.0
133,2020-01-22,N/A,Japan,36.204824,138.252924,2.0,0.0,0.0
134,2020-01-22,N/A,Jordan,31.24,36.51,0.0,0.0,0.0
135,2020-01-22,N/A,Kazakhstan,48.0196,66.9237,0.0,0.0,0.0
136,2020-01-22,N/A,Kenya,-0.0236,37.9062,0.0,0.0,0.0
137,2020-01-22,N/A,"Korea, South",35.907757000000004,127.766922,1.0,0.0,0.0
138,2020-01-22,N/A,Kosovo,42.602636,20.902977,0.0,0.0,0.0
139,2020-01-22,N/A,Kuwait,29.311659999999996,47.481766,0.0,0.0,0.0
140,2020-01-22,N/A,Kyrgyzstan,41.20438,74.766098,0.0,0.0,0.0
141,2020-01-22,N/A,Laos,19.856270000000002,102.495496,0.0,0.0,0.0
142,2020-01-22,N/A,Latvia,56.8796,24.6032,0.0,0.0,0.0
143,2020-01-22,N/A,Lebanon,33.8547,35.8623,0.0,0.0,0.0
144,2020-01-22,N/A,Lesotho,-29.61,28.2336,0.0,0.0,0.0
145,2020-01-22,N/A,Liberia,6.4280550000000005,-9.429499,0.0,0.0,0.0
146,2020-01-22,N/A,Libya,26.3351,17.228331,0.0,0.0,0.0
147,2020-01-22,N/A,Liechtenstein,47.14,9.55,0.0,0.0,0.0
148,2020-01-22,N/A,Lithuania,55.1694,23.8813,0.0,0.0,0.0
149,2020-01-22,N/A,Luxembourg,49.8153,6.1296,0.0,0.0,0.0
